Hun-Eng 30/29 = 96%.
Unlearned Eng-Hun 10/9 = 90% Quiz end date: 2021-04-21 15:32:46.791
Unlearned Eng-Hun 30/20 = 66% Quiz end date: 2021-04-21 15:34:55.893
Congratulation! You learned the unlearned words!
2021-04-21 15:41:36.851
Congratulation! You learned the unlearned words! Date: 2021-04-21 15:42:51.843
Eng-Hun 100/92 = 92% Quiz end date: 2021-04-21 16:03:35.298
new words recorded :1 2021-04-21 16:05:49.228
Eng-Hun 50/47 = 94% Quiz end date: 2021-04-21 16:12:05.379
Eng-Hun 50/43 = 86% Quiz end date: 2021-04-21 16:19:08.466
Eng-Hun 50/44 = 88% Quiz end date: 2021-04-21 16:23:46.463
Eng-Hun 50/45 = 90% Quiz end date: 2021-04-21 16:29:21.504
Eng-Hun 30/25 = 83% Quiz end date: 2021-04-21 18:20:22.168
Unlearned Eng-Hun 20/17 = 85% Quiz end date: 2021-04-21 18:22:17.889
Congratulation! You learned the unlearned words! Date: 2021-04-21 18:22:39.752
Unlearned Hun-Eng 30/23 = 76% Quiz end date: 2021-04-21 18:26:22.139
Unlearned Hun-Eng 30/23 = 76% Quiz end date: 2021-04-21 18:30:31.986
Unlearned Hun-Eng 50/34 = 68% Quiz end date: 2021-04-21 18:48:08.268
Unlearned Hun-Eng 50/35 = 70% Quiz end date: 2021-04-21 18:55:15.165
Unlearned Hun-Eng 50/37 = 74% Quiz end date: 2021-04-21 19:03:40.310
Unlearned Hun-Eng 50/43 = 86% Quiz end date: 2021-04-21 19:11:22.551
Unlearned Hun-Eng 50/36 = 72% Quiz end date: 2021-04-21 19:20:11.424
Unlearned Hun-Eng 40/34 = 85% Quiz end date: 2021-04-21 19:26:54.889
Congratulation! You learned the unlearned words! Date: 2021-04-21 19:28:54.185
Congratulation! You learned the unlearned words! Date: 2021-04-22 11:45:38.203
Hun-Eng 50/40 = 80% Quiz end date: 2021-04-22 11:50:41.356
Hun-Eng 50/40 = 80% Quiz end date: 2021-04-22 11:57:23.876
Hun-Eng 50/40 = 80% Quiz end date: 2021-04-22 12:03:27.621
Hun-Eng 50/39 = 78% Quiz end date: 2021-04-22 12:09:00.126
Hun-Eng 50/43 = 86% Quiz end date: 2021-04-22 12:14:44.838
Hun-Eng 50/44 = 88% Quiz end date: 2021-04-22 12:20:27.607
Hun-Eng 50/45 = 90% Quiz end date: 2021-04-22 12:24:52.452
Eng-Hun 200/185 = 92% Quiz end date: 2021-04-22 12:46:15.907
new words recorded :1 2021-04-22 13:19:09.380
Eng-Hun 50/42 = 84% Quiz end date: 2021-04-22 17:53:03.872
Eng-Hun 100/85 = 85% Quiz end date: 2021-04-22 18:03:42.057
new words recorded :15 2021-04-22 18:39:49.163
new words recorded :22 2021-04-22 18:50:01.540
new words recorded :46 2021-04-22 20:24:06.695
Unlearned Eng-Hun 50/33 = 66% Quiz end date: 2021-04-23 09:30:56.736
Unlearned Eng-Hun 50/28 = 56% Quiz end date: 2021-04-23 13:59:57.220
Eng-Hun 50/38 = 76% Quiz end date: 2021-04-23 14:24:10.714
Unlearned Eng-Hun 50/31 = 62% Quiz end date: 2021-04-23 14:32:57.664
Unlearned Eng-Hun 50/35 = 70% Quiz end date: 2021-04-23 14:37:53.066
Unlearned Eng-Hun 50/35 = 70% Quiz end date: 2021-04-23 14:44:24.081
Unlearned Eng-Hun 50/35 = 70% Quiz end date: 2021-04-23 14:49:37.562
Unlearned Eng-Hun 50/41 = 82% Quiz end date: 2021-04-23 14:54:38.850
new words recorded :1 2021-04-25 17:05:45.041
Eng-Hun 2/1 = 50% Quiz end date: 2021-04-25 18:37:15.886
Hun-Eng 1/1 = 100% Quiz end date: 2021-04-25 18:37:37.373
Eng-Hun 50/33 = 66% Quiz end date: 2021-04-25 19:48:30.964
Eng-Hun 1/1 = 100% Quiz end date: 2021-04-26 08:31:27.064
Eng-Hun 10/7 = 70% Quiz end date: 2021-04-26 08:32:52.499
Eng-Hun 50/42 = 84% Quiz end date: 2021-04-26 08:44:54.836
Eng-Hun 50/36 = 72% Quiz end date: 2021-04-26 08:54:42.138
Eng-Hun 50/42 = 84% Quiz end date: 2021-04-26 09:01:48.779
Unlearned Eng-Hun 50/36 = 72% Quiz end date: 2021-04-26 09:09:17.422
Unlearned Eng-Hun 50/40 = 80% Quiz end date: 2021-04-26 09:17:23.598
Unlearned Eng-Hun 50/45 = 90% Quiz end date: 2021-04-26 09:23:48.574
Unlearned Eng-Hun 10/9 = 90% Quiz end date: 2021-04-26 09:25:45.209
Congratulation! You learned the unlearned words! Date: 2021-04-26 09:26:13.829
Congratulation! You learned the unlearned words! Date: 2021-04-26 09:44:34.456
Unlearned Hun-Eng 50/36 = 72% Quiz end date: 2021-04-26 09:55:39.074
Unlearned Hun-Eng 10/6 = 60% Quiz end date: 2021-04-26 10:02:50.817
Unlearned Hun-Eng 10/6 = 60% Quiz end date: 2021-04-26 10:04:18.024
Congratulation! You learned the unlearned words! Date: 2021-04-26 10:17:26.954
Unlearned Hun-Eng 50/34 = 68% Quiz end date: 2021-04-26 10:27:56.870
Unlearned Hun-Eng 50/38 = 76% Quiz end date: 2021-04-26 10:39:41.634
Unlearned Hun-Eng 50/39 = 78% Quiz end date: 2021-04-26 10:49:07.322
Unlearned Hun-Eng 50/40 = 80% Quiz end date: 2021-04-26 11:00:18.905
Unlearned Hun-Eng 50/40 = 80% Quiz end date: 2021-04-26 11:10:09.016
Congratulation! You learned the unlearned words! Date: 2021-04-26 11:11:24.887
Eng-Hun 50/44 = 88% Quiz end date: 2021-04-26 11:29:41.253
Eng-Hun 50/42 = 84% Quiz end date: 2021-04-26 11:37:20.454
Eng-Hun 50/44 = 88% Quiz end date: 2021-04-26 11:45:38.855
Eng-Hun 50/44 = 88% Quiz end date: 2021-04-26 12:01:33.459
Eng-Hun 50/43 = 86% Quiz end date: 2021-04-26 12:07:48.809
Eng-Hun 50/45 = 90% Quiz end date: 2021-04-26 12:16:50.258
Eng-Hun 100/85 = 85% Quiz end date: 2021-04-26 16:52:35.067
Eng-Hun 100/87 = 87% Quiz end date: 2021-04-26 17:06:53.690
Hun-Eng 100/85 = 85% Quiz end date: 2021-04-26 17:27:55.172
new words recorded :8 2021-04-26 20:40:53.386
new words recorded :21 2021-04-26 21:12:34.254
Eng-Hun 300/248 = 82% Quiz end date: 2021-04-28 09:04:20.309
Hun-Eng 300/245 = 81% Quiz end date: 2021-04-28 10:09:03.708
Eng-Hun 250/219 = 87% Quiz end date: 2021-04-28 16:04:24.953
new words recorded :14 2021-04-28 21:05:28.327
Eng-Hun 100/87 = 87% Quiz end date: 2021-04-29 08:06:18.221
Eng-Hun 100/89 = 89% Quiz end date: 2021-04-29 08:20:23.427
Eng-Hun 100/88 = 88% Quiz end date: 2021-04-29 08:36:23.516
Hun-Eng 100/91 = 91% Quiz end date: 2021-04-29 08:53:45.981
Hun-Eng 100/85 = 85% Quiz end date: 2021-04-29 09:13:12.714
new words recorded :2 2021-04-29 09:38:02.685
new words recorded :41 2021-04-29 10:47:27.295
new words recorded :2 2021-04-29 11:17:49.951
new words recorded :4 2021-04-29 12:39:48.788
new words recorded :25 2021-04-29 19:43:16.236
Unlearned Eng-Hun 100/72 = 72% Quiz end date: 2021-04-29 19:55:56.988
Unlearned Eng-Hun 100/72 = 72% Quiz end date: 2021-04-29 20:07:56.665
Unlearned Eng-Hun 100/65 = 65% Quiz end date: 2021-04-29 20:21:31.051
Unlearned Eng-Hun 100/75 = 75% Quiz end date: 2021-04-29 20:38:47.738
Unlearned Eng-Hun 100/64 = 64% Quiz end date: 2021-04-30 09:57:12.705
Congratulation! You learned the unlearned words! Date: 2021-04-30 10:10:26.870
Eng-Hun 100/82 = 82% Quiz end date: 2021-04-30 10:38:41.428
